user;assistant;contexto
O que a scriptai faz?;Oferecemos automação com IA, integração com CRMs e atendimento via WhatsApp.;FAQ Geral
Vocês atendem em Portugal?;Sim! As nossas soluções são adaptadas ao mercado português.;Localização
O que é a scriptai?;A scriptai oferece soluções com IA (n), CRM (bitrix), energia solar, desenvolvimento de sites e gestão de redes sociais, integrando automação e tecnologia para resultados eficientes.;FAQ Geral
Quais são os serviços principais?;Os nossos principais serviços são: 1) neuronex (IA e automação), 2) bitrix (CRM), 3) Soluções Energéticas, 4) Desenvolvimento de Sites e 5) Gestão de redes Sociais.;FAQ Geral
Como a neuronex usa IA?;A neuronex aplica IA para automação de tarefas repetitivas, análise de dados em tempo real e integração com sistemas como o bitrix.;Produtos e Serviços
O bitrix tem suporte para e-mail de marketing?;Sim! O bitrix inclui automação de e-mails, follow-ups e relatórios de desempenho de campanhas.;Produtos e Serviços
Vocês instalam painéis solares?;Sim, realizamos projetos completos de energia solar, desde consultoria até instalação e monitorização de ROI.;Soluções Energéticas
Quanto custa um site na scriptai?;O valor varia conforme o projeto. Posso te ligar com a nossa equipa para um orçamento personalizado! (Encaminha lead);Orçamentos
Como é o processo de atendimento?;1) Identificamos o seu interesse, 2) Recolhemos os dados (nome, e-mail, telefone), 3) Encaminhamos para a equipa especializada.;Fluxo de Atendimento
Explique detalhadamente como a neuronex se integra no bitrix?;[ A integração entre neuronex e bitrix ocorre em 3 níveis: ,  1) **Dados**: A IA da neuronex analisa leads e oportunidades no CRM, identificando padrões para priorizar contatos.  ,  2) **Automação**: Tarefas como follow-ups e atualizações de estado são automatizadas com base em regras personalizadas.  ,  3) **Relatórios**: A neuronex gera insights preditivos (ex.: probabilidade de conversão) diretamente no painel do bitrix. ];Integração de Sistemas
Quais as metas que a scriptai monitoriza em redes sociais?;[ Monitorizamos 4 categorias principais: ,  1) **Interação**: Gostos, comentários, contagens e taxa de cliques (CTR).  ,  2) **Conversão**: Leads gerados por campanhas e ROI de anúncios. ,  3) **Crescimento**: Aumento de seguidores e tráfego para o site. ,  4) **Desempenho**: Horários ideais para publicar e tipos de conteúdo com melhor performance. ];Métricas de Mídia Social
Posso falar com um humano?;Claro! Se precisar, posso transferi-lo para um operador. Diga-me o assunto para o direcionar corretamente.;Fluxo de Atendimento
Como registo um lead no sistema?;Basta informar-me: 1) Nome completo, 2) E-mail, 3) Telefone, 4) Tipo (empresa/residencial) e 5) Serviço de interesse.;Fluxo de Atendimento
O atendimento é 24 horas?;Sim! Estamos disponíveis via WhatsApp, Telegram e Chatbot no site a qualquer momento.;Suporte Multicanal
Qual o tempo de resposta?;As respostas automáticas são imediatas. Para assuntos complexos, a nossa equipa humana responde até 2h úteis.;Fluxo de Atendimento
